,cycle_id,harvested_at,weight,size,total_harvest(kg),total_seed,survival_rate(%),average_weight(gr),est_remaining_population,biomass(kg),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
26,4044,2020-08-12,1645.32,39.0,64167.479999999996,215858,76.47,25.641025641025642,50788.20000000001,1302.2615384615387,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
27,4044,2020-08-12,339.75,66.0,22423.5,215858,86.86,15.151515151515152,28364.70000000001,429.768181818182,40.82,30.62,1.1,119,7182.5,0.0,0.0,0.0,0.0,0.0,12.280714285714286
28,4045,2020-07-01,647.49,66.0,42734.340000000004,227526,18.78,15.15151515151515,184791.66,2799.8736363636363,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
29,4045,2020-07-01,138.38,104.0,14391.52,227526,25.11,9.615384615384615,170400.14,1638.4628846153848,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
30,4045,2020-07-18,620.29,52.0,32255.079999999998,227526,39.28,19.230769230769234,138145.06,2656.6357692307693,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
31,4045,2020-07-18,96.48,88.0,8490.24,227526,43.02,11.363636363636363,129654.81999999999,1473.3502272727271,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
32,4045,2020-08-01,114.16,66.0,7534.5599999999995,227526,46.33,15.151515151515152,122120.26,1850.3069696969696,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
33,4045,2020-08-01,575.17,42.0,24157.14,227526,56.94,23.80952380952381,97963.12,2332.4552380952377,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
34,4045,2020-08-08,582.43,40.0,23297.199999999997,227526,67.18,25.000000000000004,74665.92000000001,1866.6480000000006,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
35,4045,2020-08-08,82.24,72.0,5921.28,227526,69.79,13.88888888888889,68744.64000000001,954.7866666666669,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
36,4045,2020-08-12,770.37,41.0,31585.170000000002,227526,83.67,24.39024390243902,37159.47,906.3285365853658,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
37,4045,2020-08-12,154.37,67.0,10342.79,227526,88.21,14.925373134328357,26816.679999999993,400.2489552238805,41.79,31.34,1.1,119,7187.5,0.0,0.0,0.0,0.0,0.0,11.851428571428572
38,4046,2020-07-18,1240.35,54.0,66978.9,180854,37.03,18.51851851851852,113875.1,2108.7981481481484,37.24,27.93,1.1,115,6135.5,0.0,0.0,0.0,0.0,0.0,12.117857142857144
39,4046,2020-07-18,181.84,92.0,16729.28,180854,46.28,10.869565217391305,97145.82,1055.9328260869565,37.24,27.93,1.1,115,6135.5,0.0,0.0,0.0,0.0,0.0,12.117857142857144
40,4046,2020-08-08,1455.37,40.0,58214.799999999996,180854,78.47,25.000000000000004,38931.02000000002,973.2755000000005,37.24,27.93,1.1,115,6135.5,0.0,0.0,0.0,0.0,0.0,12.117857142857144
41,4046,2020-08-08,254.56,69.0,17564.64,180854,88.19,14.492753623188406,21366.380000000005,309.65768115942035,37.24,27.93,1.1,115,6135.5,0.0,0.0,0.0,0.0,0.0,12.117857142857144
42,4047,2020-07-01,900.13,70.0,63009.1,233360,27.0,14.285714285714286,170350.9,2433.584285714286,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
43,4047,2020-07-01,33.75,107.0,3611.25,233360,28.55,9.345794392523365,166739.65,1558.3144859813083,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
44,4047,2020-07-18,615.88,56.0,34489.28,233360,43.33,17.857142857142858,132250.37,2361.61375,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
45,4047,2020-07-18,43.01,86.0,3698.8599999999997,233360,44.91,11.627906976744187,128551.51000000001,1494.7850000000003,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
46,4047,2020-08-01,1965.93,46.0,90432.78,233360,83.67,21.73913043478261,38118.73000000001,828.6680434782611,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
47,4047,2020-08-01,310.18,72.0,22332.96,233360,93.24,13.88888888888889,15785.770000000019,219.24680555555582,42.27,31.7,1.1,108,6561.0,0.0,0.0,0.0,0.0,0.0,11.205384615384615
48,4048,2020-07-01,868.07,71.0,61632.97,265447,23.22,14.08450704225352,203814.03,2870.62014084507,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
49,4048,2020-07-01,87.72,106.0,9298.32,265447,26.72,9.433962264150944,194515.71,1835.0538679245285,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
50,4048,2020-07-18,162.98,54.0,8800.92,265447,30.04,18.51851851851852,185714.78999999998,3439.1627777777776,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
51,4048,2020-07-18,17.79,90.0,1601.1,265447,30.64,11.111111111111112,184113.69,2045.707666666667,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
